period_start,count,period_label
2024-05-01 00:00:00+00:00,105,2024-05
2024-06-01 00:00:00+00:00,151,2024-06
2024-07-01 00:00:00+00:00,122,2024-07
2024-08-01 00:00:00+00:00,139,2024-08
2024-09-01 00:00:00+00:00,144,2024-09
2024-10-01 00:00:00+00:00,125,2024-10
2024-11-01 00:00:00+00:00,133,2024-11
2024-12-01 00:00:00+00:00,113,2024-12
2025-01-01 00:00:00+00:00,119,2025-01
2025-02-01 00:00:00+00:00,83,2025-02
2025-03-01 00:00:00+00:00,75,2025-03
2025-04-01 00:00:00+00:00,88,2025-04
2025-05-01 00:00:00+00:00,102,2025-05
2025-06-01 00:00:00+00:00,70,2025-06
2025-07-01 00:00:00+00:00,94,2025-07
2025-08-01 00:00:00+00:00,58,2025-08
2025-09-01 00:00:00+00:00,88,2025-09
2025-10-01 00:00:00+00:00,96,2025-10
2025-11-01 00:00:00+00:00,103,2025-11
2025-12-01 00:00:00+00:00,77,2025-12
2026-01-01 00:00:00+00:00,112,2026-01
2026-02-01 00:00:00+00:00,113,2026-02
2026-03-01 00:00:00+00:00,196,2026-03
2026-04-01 00:00:00+00:00,139,2026-04
2026-05-01 00:00:00+00:00,8,2026-05
