package,package_rank,before_file_path,after_file_path,function,kind,bugfix_commit,bugfix_message,bugfix_commit_date,bugfix_before_complexity,bugfix_after_complexity,bugfix_complexity_delta,bugfix_complexity_category
numpy,1,numpy/_core/src/multiarray/descriptor.c,numpy/_core/src/multiarray/descriptor.c,"_convert_from_dict( PyObject * obj , int align)",function,8d78a99c0bb441ebea2487aa5ac4f6a19cb9a34b,BUG: Avoid optimization causing astropy regression (#31371),2026-05-01T20:23:20-06:00,62.0,63.0,1.0,Increase
numpy,1,numpy/f2py/f2py2e.py,numpy/f2py/f2py2e.py,run_compile,function,4d213572cfb96b95c83693bbada3ebb65d7c9627,BUG: Fix build failure with --latex-doc by filtering flag from backend args (#30331),2026-04-29T10:01:42+02:00,47.0,47.0,0.0,No change
numpy,1,numpy/_core/einsumfunc.py,numpy/_core/einsumfunc.py,bmm_einsum,function,425f631926c3ae6c817774b4e079ffdf207e3907,BUG: np.einsum() fails with a 0-dimensional out argument and optimize='optimal' (#31354); [...],2026-04-28T17:47:17+02:00,14.0,14.0,0.0,No change
numpy,1,numpy/_core/src/multiarray/convert_datatype.c,numpy/_core/src/multiarray/convert_datatype.c,"void_to_void_get_loop( PyArrayMethod_Context * context , int aligned , int move_references , const npy_intp * strides , PyArrayMethod_StridedLoop ** out_loop , NpyAuxData ** out_transferdata , NPY_ARRAYMETHOD_FLAGS * flags)",function,0f79a3a0921873c3d7a85c7b3d7cf1411b7d2143,BUG: Fix copy performance regression for structured arrays (#29270); [...],2026-04-28T16:44:34+02:00,8.0,12.0,4.0,Increase
numpy,1,numpy/_core/src/multiarray/descriptor.c,numpy/_core/src/multiarray/descriptor.c,"_convert_from_array_descr( PyObject * obj , int align)",function,0f79a3a0921873c3d7a85c7b3d7cf1411b7d2143,BUG: Fix copy performance regression for structured arrays (#29270); [...],2026-04-28T16:44:34+02:00,40.0,40.0,0.0,No change
numpy,1,numpy/_core/src/multiarray/descriptor.c,numpy/_core/src/multiarray/descriptor.c,"_convert_from_list( PyObject * obj , int align)",function,0f79a3a0921873c3d7a85c7b3d7cf1411b7d2143,BUG: Fix copy performance regression for structured arrays (#29270); [...],2026-04-28T16:44:34+02:00,18.0,18.0,0.0,No change
numpy,1,numpy/_core/src/multiarray/descriptor.c,numpy/_core/src/multiarray/descriptor.c,"_convert_from_dict( PyObject * obj , int align)",function,0f79a3a0921873c3d7a85c7b3d7cf1411b7d2143,BUG: Fix copy performance regression for structured arrays (#29270); [...],2026-04-28T16:44:34+02:00,60.0,62.0,2.0,Increase
numpy,1,numpy/_core/src/multiarray/descriptor.c,numpy/_core/src/multiarray/descriptor.c,"arraydescr_reduce( PyArray_Descr * self , PyObject * NPY_UNUSED(args))",function,0f79a3a0921873c3d7a85c7b3d7cf1411b7d2143,BUG: Fix copy performance regression for structured arrays (#29270); [...],2026-04-28T16:44:34+02:00,16.0,16.0,0.0,No change
numpy,1,numpy/_core/src/multiarray/descriptor.c,numpy/_core/src/multiarray/descriptor.c,"arraydescr_setstate( _PyArray_LegacyDescr * self , PyObject * args)",function,0f79a3a0921873c3d7a85c7b3d7cf1411b7d2143,BUG: Fix copy performance regression for structured arrays (#29270); [...],2026-04-28T16:44:34+02:00,71.0,73.0,2.0,Increase
numpy,1,numpy/_core/src/multiarray/descriptor.c,numpy/_core/src/multiarray/descriptor.c,"arraydescr_field_subset_view( _PyArray_LegacyDescr * self , PyObject * ind)",function,0f79a3a0921873c3d7a85c7b3d7cf1411b7d2143,BUG: Fix copy performance regression for structured arrays (#29270); [...],2026-04-28T16:44:34+02:00,16.0,17.0,1.0,Increase
