package,package_rank,file_path,function,kind,complexity,n_bugfix_commits,bugfix_commit,bugfix_commit_date,bugfix_message
matplotlib,5,lib/matplotlib/axes/_axes.py,Axes.errorbar,method,50,11,bb20e8ea490b3e0f84aa00c06ea94f31bee47e98,2024-06-26T19:21:20-04:00,Fix typing and docs for containers; Fixes #28467
matplotlib,5,lib/matplotlib/axes/_axes.py,Axes.errorbar,method,50,11,a92824c6ee5dee1132df32b970a42d31846ce596,2024-06-27T17:05:03Z,Backport PR #28474: Fix typing and docs for containers
matplotlib,5,lib/matplotlib/axes/_axes.py,Axes.errorbar,method,50,11,bb6e1aad7534dc331a9fd0ca49ab1556a702b518,2024-10-18T13:13:03-05:00,Fix polar error bar cap orientation (#28966)
matplotlib,5,lib/matplotlib/axes/_axes.py,Axes.errorbar,method,50,11,a39e2d64552f5030e66b7ae1ed4a08646c4f4fae,2025-01-04T13:42:02Z,FIX: add errorbars with add_container
matplotlib,5,lib/matplotlib/axes/_axes.py,Axes.errorbar,method,50,11,c94a469000f81ff5b1e0ca576c284cc2bb9fd8d5,2025-01-06T00:17:40Z,Backport PR #29401: FIX: add errorbars with `add_container`
matplotlib,5,lib/matplotlib/axes/_axes.py,Axes.errorbar,method,50,11,d91d21648f74d4bb0f9dd131cc73b48fa8c8dc84,2025-04-10T12:23:03-04:00,BUG: ensure that errorbar does not error on masked negative errors.; [...]
matplotlib,5,lib/matplotlib/axes/_axes.py,Axes.errorbar,method,50,11,bbe738f14aef14f6238067db1dbab9e7b90768e0,2025-04-13T08:14:34-04:00,BUG: ensure we never do nan < nan
matplotlib,5,lib/matplotlib/axes/_axes.py,Axes.errorbar,method,50,11,25b9377bec9587a3eca26518f57c31d647db2634,2025-04-16T09:39:22Z,Backport PR #29897: BUG: ensure that errorbar does not error on masked negative errors.
matplotlib,5,lib/matplotlib/axes/_axes.py,Axes.errorbar,method,50,11,192e935ee0a34192f519995055e55fbca7b553a1,2025-04-29T21:09:45-04:00,"[...]; * Update set eb_line_style and fix formatting issues; [...]; * Adding extra blank lines to fix style errors, and removing unnecessary asserts; [...]; * Style fix; [...]"
matplotlib,5,lib/matplotlib/axes/_axes.py,Axes.errorbar,method,50,11,20bdd72d3cb9a4a93657091d80fdeb9d0089609c,2025-05-15T05:54:54-04:00,[...]; * Fix #29780 : color of errorbar caps affected by markeredgecolor; [...]
