package,package_rank,functions_analyzed,mean_complexity,median_complexity,functions_bugfixed,bugfix_commits,unique_bug_introducing_commits,spearman_r,spearman_p,pearson_r,pearson_p
numpy,1,7719,5.960875761108952,2.0,857,647,910,0.1820230468561376,1.71816099775363e-58,0.1742041856522804,1.1867595236987346e-53
pandas,2,7190,4.092489568845619,2.0,1527,1056,1213,0.223576305999874,3.837911174707381e-82,0.311067133977673,4.285452293535582e-161
pydantic,3,3334,3.605578884223156,2.0,281,215,318,0.0979770890368382,1.4380350305761281e-08,0.2116765822912845,4.405460261448051e-35
pyyaml,4,368,4.013586956521739,2.0,1,1,0,0.0365330666400699,0.4847553194553339,-0.0001369134154684,0.9979115241099306
matplotlib,5,11007,2.691196511310984,1.0,680,554,749,0.1940128001470413,8.032385963688198e-94,0.2680664529949325,1.7643410000478406e-180
scipy,6,13140,4.656392694063927,1.0,2103,953,1959,0.2391608869632461,2.7032035141097805e-170,0.2290002979574001,6.43210596105172e-156
click,7,507,3.4299802761341223,2.0,49,47,53,0.2591406962663233,3.179721719021464e-09,0.4898290757336379,5.92283898900511e-32
tqdm,8,221,3.687782805429865,2.0,7,9,11,0.1827841742883468,0.0064327440053246,0.2518991842160644,0.0001538776536433
rich,9,888,3.399774774774775,2.0,45,56,62,0.1806963008880505,5.9023823916937815e-08,0.30895383810624,4.2933425882819044e-21
python-dotenv,10,65,2.707692307692308,2.0,6,10,7,0.1607200342659221,0.2009121608979268,0.1564496176060426,0.2132996252189724
