bugfix_commits,functions_with_exact_count,share
0,34269,0.7267926449067889
1,7678,0.1628385400097559
2,2705,0.057368878708829084
3,1096,0.023244469894593965
4,583,0.012364530974952812
5,315,0.006680664248902462
6,180,0.003817522427944264
7,113,0.0023965557464316768
8,56,0.0011876736442493266
9,59,0.0012512990180483976
10,27,0.0005726283641916397
11,21,0.0004453776165934975
12,11,0.0002332930372632606
13,12,0.0002545014951962843
14,12,0.0002545014951962843
15,2,4.241691586604738e-05
16,3,6.362537379907107e-05
17,3,6.362537379907107e-05
18,0,0.0
19,0,0.0
20,1,2.120845793302369e-05
21,2,4.241691586604738e-05
22,0,0.0
23,2,4.241691586604738e-05
24,0,0.0
25,0,0.0
26,0,0.0
27,0,0.0
28,0,0.0
29,1,2.120845793302369e-05
