package,pair_count,median_lag_days,p25_lag_days,p75_lag_days
pydantic,3146,133.06598958333333,33.97414641203704,481.9062239583333
black,484,572.986863425926,197.38826967592593,992.0869241898149
pandas,9897,721.6735532407407,266.5415972222222,1393.5973726851853
click,111,728.9376041666667,187.27172453703704,1846.5174247685186
numpy,3300,947.1496006944444,167.44744502314813,2832.94359375
pytest,1266,1108.1339409722223,340.0517042824074,1773.6515190972223
matplotlib,3559,1140.3300347222223,340.34164351851854,2572.1754340277776
scipy,5590,1232.6359953703704,217.02690393518517,3203.2039322916667
requests,34,1888.404832175926,689.3532089120371,2720.615737847222
pytest-cov,139,2332.474722222222,1248.0347743055554,3142.4562789351853
